Car1 gas level: 6

Car1 is filling up

Car1 gas level: 15

Car1 is off

-----------
Mileage: 	1001, Fuel (Gal Left): 15
Mileage: 	1132, Fuel (Gal Left): 10
Mileage: 	1133, Fuel (Gal Left): 10
Mileage: 	1134, Fuel (Gal Left): 10
Mileage: 	1135, Fuel (Gal Left): 10
Mileage: 	1136, Fuel (Gal Left): 10
Mileage: 	1137, Fuel (Gal Left): 10
Mileage: 	1138, Fuel (Gal Left): 10
Mileage: 	1139, Fuel (Gal Left): 10
Mileage: 	1140, Fuel (Gal Left): 10
Mileage: 	1141, Fuel (Gal Left): 10
Mileage: 	1142, Fuel (Gal Left): 10
Mileage: 	1143, Fuel (Gal Left): 10
Mileage: 	1144, Fuel (Gal Left): 9
Mileage: 	1145, Fuel (Gal Left): 9
Mileage: 	1146, Fuel (Gal Left): 9
Mileage: 	1147, Fuel (Gal Left): 9
Mileage: 	1148, Fuel (Gal Left): 9
Mileage: 	1149, Fuel (Gal Left): 9
Mileage: 	1150, Fuel (Gal Left): 9
Mileage: 	1151, Fuel (Gal Left): 9
Mileage: 	1152, Fuel (Gal Left): 9
Mileage: 	1153, Fuel (Gal Left): 9
Mileage: 	1154, Fuel (Gal Left): 9
Mileage: 	1155, Fuel (Gal Left): 9
Mileage: 	1156, Fuel (Gal Left): 9
Mileage: 	1157, Fuel (Gal Left): 9
Mileage: 	1158, Fuel (Gal Left): 9
Mileage: 	1159, Fuel (Gal Left): 9
Mileage: 	1160, Fuel (Gal Left): 9
Mileage: 	1161, Fuel (Gal Left): 9
Mileage: 	1162, Fuel (Gal Left): 9
Mileage: 	1163, Fuel (Gal Left): 9
Mileage: 	1164, Fuel (Gal Left): 9
Mileage: 	1165, Fuel (Gal Left): 9
Mileage: 	1166, Fuel (Gal Left): 9
Mileage: 	1167, Fuel (Gal Left): 9
Mileage: 	1168, Fuel (Gal Left): 8
Mileage: 	1169, Fuel (Gal Left): 8
Mileage: 	1170, Fuel (Gal Left): 8
Mileage: 	1171, Fuel (Gal Left): 8
Mileage: 	1172, Fuel (Gal Left): 8
Mileage: 	1173, Fuel (Gal Left): 8
Mileage: 	1174, Fuel (Gal Left): 8
Mileage: 	1175, Fuel (Gal Left): 8
Mileage: 	1176, Fuel (Gal Left): 8
Mileage: 	1177, Fuel (Gal Left): 8
Mileage: 	1178, Fuel (Gal Left): 8
Mileage: 	1179, Fuel (Gal Left): 8
Mileage: 	1180, Fuel (Gal Left): 8
Mileage: 	1181, Fuel (Gal Left): 8
Mileage: 	1182, Fuel (Gal Left): 8
Mileage: 	1183, Fuel (Gal Left): 8
Mileage: 	1184, Fuel (Gal Left): 8
Mileage: 	1185, Fuel (Gal Left): 8
Mileage: 	1186, Fuel (Gal Left): 8
Mileage: 	1187, Fuel (Gal Left): 8
Mileage: 	1188, Fuel (Gal Left): 8
Mileage: 	1189, Fuel (Gal Left): 8
Mileage: 	1190, Fuel (Gal Left): 8
Mileage: 	1191, Fuel (Gal Left): 8
Mileage: 	1192, Fuel (Gal Left): 7
Mileage: 	1193, Fuel (Gal Left): 7
Mileage: 	1194, Fuel (Gal Left): 7
Mileage: 	1195, Fuel (Gal Left): 7
Mileage: 	1196, Fuel (Gal Left): 7
Mileage: 	1197, Fuel (Gal Left): 7
Mileage: 	1198, Fuel (Gal Left): 7
Mileage: 	1199, Fuel (Gal Left): 7
Mileage: 	1200, Fuel (Gal Left): 7
Mileage: 	1201, Fuel (Gal Left): 7
Mileage: 	1202, Fuel (Gal Left): 7
Mileage: 	1203, Fuel (Gal Left): 7
Mileage: 	1204, Fuel (Gal Left): 7
Mileage: 	1205, Fuel (Gal Left): 7
Mileage: 	1206, Fuel (Gal Left): 7
Mileage: 	1207, Fuel (Gal Left): 7
Mileage: 	1208, Fuel (Gal Left): 7
Mileage: 	1209, Fuel (Gal Left): 7
Mileage: 	1210, Fuel (Gal Left): 7
Mileage: 	1211, Fuel (Gal Left): 7
Mileage: 	1212, Fuel (Gal Left): 7
Mileage: 	1213, Fuel (Gal Left): 7
Mileage: 	1214, Fuel (Gal Left): 7
Mileage: 	1215, Fuel (Gal Left): 7
Mileage: 	1216, Fuel (Gal Left): 6
Mileage: 	1217, Fuel (Gal Left): 6
Mileage: 	1218, Fuel (Gal Left): 6
Mileage: 	1219, Fuel (Gal Left): 6
Mileage: 	1220, Fuel (Gal Left): 6
Mileage: 	1221, Fuel (Gal Left): 6
Mileage: 	1222, Fuel (Gal Left): 6
Mileage: 	1223, Fuel (Gal Left): 6
Mileage: 	1224, Fuel (Gal Left): 6
Mileage: 	1225, Fuel (Gal Left): 6
Mileage: 	1226, Fuel (Gal Left): 6
Mileage: 	1227, Fuel (Gal Left): 6
Mileage: 	1228, Fuel (Gal Left): 6
Mileage: 	1229, Fuel (Gal Left): 6
Mileage: 	1230, Fuel (Gal Left): 6
Mileage: 	1231, Fuel (Gal Left): 6
Mileage: 	1232, Fuel (Gal Left): 6
Mileage: 	1233, Fuel (Gal Left): 6
Mileage: 	1234, Fuel (Gal Left): 6
Mileage: 	1235, Fuel (Gal Left): 6
Mileage: 	1236, Fuel (Gal Left): 6
Mileage: 	1237, Fuel (Gal Left): 6
Mileage: 	1238, Fuel (Gal Left): 6
Mileage: 	1239, Fuel (Gal Left): 6
Mileage: 	1240, Fuel (Gal Left): 5
Mileage: 	1241, Fuel (Gal Left): 5
Mileage: 	1242, Fuel (Gal Left): 5
Mileage: 	1243, Fuel (Gal Left): 5
Mileage: 	1244, Fuel (Gal Left): 5
Mileage: 	1245, Fuel (Gal Left): 5
Mileage: 	1246, Fuel (Gal Left): 5
Mileage: 	1247, Fuel (Gal Left): 5
Mileage: 	1248, Fuel (Gal Left): 5
Mileage: 	1249, Fuel (Gal Left): 5
Mileage: 	1250, Fuel (Gal Left): 5
Mileage: 	1251, Fuel (Gal Left): 5
Mileage: 	1252, Fuel (Gal Left): 5
Mileage: 	1253, Fuel (Gal Left): 5
Mileage: 	1254, Fuel (Gal Left): 5
Mileage: 	1255, Fuel (Gal Left): 5
Mileage: 	1256, Fuel (Gal Left): 5
Mileage: 	1257, Fuel (Gal Left): 5
Mileage: 	1258, Fuel (Gal Left): 5
Mileage: 	1259, Fuel (Gal Left): 5
Mileage: 	1260, Fuel (Gal Left): 5
Mileage: 	1261, Fuel (Gal Left): 5
Mileage: 	1262, Fuel (Gal Left): 5
Mileage: 	1263, Fuel (Gal Left): 5
Mileage: 	1264, Fuel (Gal Left): 4
Mileage: 	1265, Fuel (Gal Left): 4
Mileage: 	1266, Fuel (Gal Left): 4
Mileage: 	1267, Fuel (Gal Left): 4
Mileage: 	1268, Fuel (Gal Left): 4
Mileage: 	1269, Fuel (Gal Left): 4
Mileage: 	1270, Fuel (Gal Left): 4
Mileage: 	1271, Fuel (Gal Left): 4
Mileage: 	1272, Fuel (Gal Left): 4
Mileage: 	1273, Fuel (Gal Left): 4
Mileage: 	1274, Fuel (Gal Left): 4
Mileage: 	1275, Fuel (Gal Left): 4
Mileage: 	1276, Fuel (Gal Left): 4
Mileage: 	1277, Fuel (Gal Left): 4
Mileage: 	1278, Fuel (Gal Left): 4
Mileage: 	1279, Fuel (Gal Left): 4
Mileage: 	1280, Fuel (Gal Left): 4
Mileage: 	1281, Fuel (Gal Left): 4
Mileage: 	1282, Fuel (Gal Left): 4
Mileage: 	1283, Fuel (Gal Left): 4
Mileage: 	1284, Fuel (Gal Left): 4
Mileage: 	1285, Fuel (Gal Left): 4
Mileage: 	1286, Fuel (Gal Left): 4
Mileage: 	1287, Fuel (Gal Left): 4
Mileage: 	1288, Fuel (Gal Left): 3
Mileage: 	1289, Fuel (Gal Left): 3
Mileage: 	1290, Fuel (Gal Left): 3
Mileage: 	1291, Fuel (Gal Left): 3
Mileage: 	1292, Fuel (Gal Left): 3
Mileage: 	1293, Fuel (Gal Left): 3
Mileage: 	1294, Fuel (Gal Left): 3
Mileage: 	1295, Fuel (Gal Left): 3
Mileage: 	1296, Fuel (Gal Left): 3
Mileage: 	1297, Fuel (Gal Left): 3
Mileage: 	1298, Fuel (Gal Left): 3
Mileage: 	1299, Fuel (Gal Left): 3
Mileage: 	1300, Fuel (Gal Left): 3
Mileage: 	1301, Fuel (Gal Left): 3
Mileage: 	1302, Fuel (Gal Left): 3
Mileage: 	1303, Fuel (Gal Left): 3
Mileage: 	1304, Fuel (Gal Left): 3
Mileage: 	1305, Fuel (Gal Left): 3
Mileage: 	1306, Fuel (Gal Left): 3
Mileage: 	1307, Fuel (Gal Left): 3
Mileage: 	1308, Fuel (Gal Left): 3
Mileage: 	1309, Fuel (Gal Left): 3
Mileage: 	1310, Fuel (Gal Left): 3
Mileage: 	1311, Fuel (Gal Left): 3
Mileage: 	1312, Fuel (Gal Left): 2
Mileage: 	1313, Fuel (Gal Left): 2
Mileage: 	1314, Fuel (Gal Left): 2
Mileage: 	1315, Fuel (Gal Left): 2
Mileage: 	1316, Fuel (Gal Left): 2
Mileage: 	1317, Fuel (Gal Left): 2
Mileage: 	1318, Fuel (Gal Left): 2
Mileage: 	1319, Fuel (Gal Left): 2
Mileage: 	1320, Fuel (Gal Left): 2
Mileage: 	1321, Fuel (Gal Left): 2
Mileage: 	1322, Fuel (Gal Left): 2
Mileage: 	1323, Fuel (Gal Left): 2
Mileage: 	1324, Fuel (Gal Left): 2
Mileage: 	1325, Fuel (Gal Left): 2
Mileage: 	1326, Fuel (Gal Left): 2
Mileage: 	1327, Fuel (Gal Left): 2
Mileage: 	1328, Fuel (Gal Left): 2
Mileage: 	1329, Fuel (Gal Left): 2
Mileage: 	1330, Fuel (Gal Left): 2
Mileage: 	1331, Fuel (Gal Left): 2
Mileage: 	1332, Fuel (Gal Left): 2
Mileage: 	1333, Fuel (Gal Left): 2
Mileage: 	1334, Fuel (Gal Left): 2
Mileage: 	1335, Fuel (Gal Left): 2
Mileage: 	1336, Fuel (Gal Left): 1
Mileage: 	1337, Fuel (Gal Left): 1
Mileage: 	1338, Fuel (Gal Left): 1
Mileage: 	1339, Fuel (Gal Left): 1
Mileage: 	1340, Fuel (Gal Left): 1
Mileage: 	1341, Fuel (Gal Left): 1
Mileage: 	1342, Fuel (Gal Left): 1
Mileage: 	1343, Fuel (Gal Left): 1
Mileage: 	1344, Fuel (Gal Left): 1
Mileage: 	1345, Fuel (Gal Left): 1
Mileage: 	1346, Fuel (Gal Left): 1
Mileage: 	1347, Fuel (Gal Left): 1
Mileage: 	1348, Fuel (Gal Left): 1
Mileage: 	1349, Fuel (Gal Left): 1
Mileage: 	1350, Fuel (Gal Left): 1
Mileage: 	1351, Fuel (Gal Left): 1
Mileage: 	1352, Fuel (Gal Left): 1
Mileage: 	1353, Fuel (Gal Left): 1
Mileage: 	1354, Fuel (Gal Left): 1
Mileage: 	1355, Fuel (Gal Left): 1
Mileage: 	1356, Fuel (Gal Left): 1
Mileage: 	1357, Fuel (Gal Left): 1
Mileage: 	1358, Fuel (Gal Left): 1
Mileage: 	1359, Fuel (Gal Left): 1
Mileage: 	1360, Fuel (Gal Left): 0
Car2 gas level: 8

Car2 is filling up

Car2 gas level: 15

Car2 is off

-----------
Mileage: 	999851, Fuel (Gal Left): 15
Mileage: 	999852, Fuel (Gal Left): 15
Mileage: 	999853, Fuel (Gal Left): 15
Mileage: 	999854, Fuel (Gal Left): 15
Mileage: 	999855, Fuel (Gal Left): 15
Mileage: 	999856, Fuel (Gal Left): 15
Mileage: 	999857, Fuel (Gal Left): 15
Mileage: 	999858, Fuel (Gal Left): 15
Mileage: 	999859, Fuel (Gal Left): 15
Mileage: 	999860, Fuel (Gal Left): 15
Mileage: 	999861, Fuel (Gal Left): 15
Mileage: 	999862, Fuel (Gal Left): 15
Mileage: 	999863, Fuel (Gal Left): 15
Mileage: 	999864, Fuel (Gal Left): 15
Mileage: 	999865, Fuel (Gal Left): 15
Mileage: 	999866, Fuel (Gal Left): 15
Mileage: 	999867, Fuel (Gal Left): 15
Mileage: 	999868, Fuel (Gal Left): 15
Mileage: 	999869, Fuel (Gal Left): 15
Mileage: 	999870, Fuel (Gal Left): 15
Mileage: 	999871, Fuel (Gal Left): 15
Mileage: 	999872, Fuel (Gal Left): 15
Mileage: 	999873, Fuel (Gal Left): 15
Mileage: 	999874, Fuel (Gal Left): 14
Mileage: 	999875, Fuel (Gal Left): 14
Mileage: 	999876, Fuel (Gal Left): 14
Mileage: 	999877, Fuel (Gal Left): 14
Mileage: 	999878, Fuel (Gal Left): 14
Mileage: 	999879, Fuel (Gal Left): 14
Mileage: 	999880, Fuel (Gal Left): 14
Mileage: 	999881, Fuel (Gal Left): 14
Mileage: 	999882, Fuel (Gal Left): 14
Mileage: 	999883, Fuel (Gal Left): 14
Mileage: 	999884, Fuel (Gal Left): 14
Mileage: 	999885, Fuel (Gal Left): 14
Mileage: 	999886, Fuel (Gal Left): 14
Mileage: 	999887, Fuel (Gal Left): 14
Mileage: 	999888, Fuel (Gal Left): 14
Mileage: 	999889, Fuel (Gal Left): 14
Mileage: 	999890, Fuel (Gal Left): 14
Mileage: 	999891, Fuel (Gal Left): 14
Mileage: 	999892, Fuel (Gal Left): 14
Mileage: 	999893, Fuel (Gal Left): 14
Mileage: 	999894, Fuel (Gal Left): 14
Mileage: 	999895, Fuel (Gal Left): 14
Mileage: 	999896, Fuel (Gal Left): 14
Mileage: 	999897, Fuel (Gal Left): 14
Mileage: 	999898, Fuel (Gal Left): 13
Mileage: 	999899, Fuel (Gal Left): 13
Mileage: 	999900, Fuel (Gal Left): 13
Mileage: 	999901, Fuel (Gal Left): 13
Mileage: 	999902, Fuel (Gal Left): 13
Mileage: 	999903, Fuel (Gal Left): 13
Mileage: 	999904, Fuel (Gal Left): 13
Mileage: 	999905, Fuel (Gal Left): 13
Mileage: 	999906, Fuel (Gal Left): 13
Mileage: 	999907, Fuel (Gal Left): 13
Mileage: 	999908, Fuel (Gal Left): 13
Mileage: 	999909, Fuel (Gal Left): 13
Mileage: 	999910, Fuel (Gal Left): 13
Mileage: 	999911, Fuel (Gal Left): 13
Mileage: 	999912, Fuel (Gal Left): 13
Mileage: 	999913, Fuel (Gal Left): 13
Mileage: 	999914, Fuel (Gal Left): 13
Mileage: 	999915, Fuel (Gal Left): 13
Mileage: 	999916, Fuel (Gal Left): 13
Mileage: 	999917, Fuel (Gal Left): 13
Mileage: 	999918, Fuel (Gal Left): 13
Mileage: 	999919, Fuel (Gal Left): 13
Mileage: 	999920, Fuel (Gal Left): 13
Mileage: 	999921, Fuel (Gal Left): 13
Mileage: 	999922, Fuel (Gal Left): 12
Mileage: 	999923, Fuel (Gal Left): 12
Mileage: 	999924, Fuel (Gal Left): 12
Mileage: 	999925, Fuel (Gal Left): 12
Mileage: 	999926, Fuel (Gal Left): 12
Mileage: 	999927, Fuel (Gal Left): 12
Mileage: 	999928, Fuel (Gal Left): 12
Mileage: 	999929, Fuel (Gal Left): 12
Mileage: 	999930, Fuel (Gal Left): 12
Mileage: 	999931, Fuel (Gal Left): 12
Mileage: 	999932, Fuel (Gal Left): 12
Mileage: 	999933, Fuel (Gal Left): 12
Mileage: 	999934, Fuel (Gal Left): 12
Mileage: 	999935, Fuel (Gal Left): 12
Mileage: 	999936, Fuel (Gal Left): 12
Mileage: 	999937, Fuel (Gal Left): 12
Mileage: 	999938, Fuel (Gal Left): 12
Mileage: 	999939, Fuel (Gal Left): 12
Mileage: 	999940, Fuel (Gal Left): 12
Mileage: 	999941, Fuel (Gal Left): 12
Mileage: 	999942, Fuel (Gal Left): 12
Mileage: 	999943, Fuel (Gal Left): 12
Mileage: 	999944, Fuel (Gal Left): 12
Mileage: 	999945, Fuel (Gal Left): 12
Mileage: 	999946, Fuel (Gal Left): 11
Mileage: 	999947, Fuel (Gal Left): 11
Mileage: 	999948, Fuel (Gal Left): 11
Mileage: 	999949, Fuel (Gal Left): 11
Mileage: 	999950, Fuel (Gal Left): 11
Mileage: 	999951, Fuel (Gal Left): 11
Mileage: 	999952, Fuel (Gal Left): 11
Mileage: 	999953, Fuel (Gal Left): 11
Mileage: 	999954, Fuel (Gal Left): 11
Mileage: 	999955, Fuel (Gal Left): 11
Mileage: 	999956, Fuel (Gal Left): 11
Mileage: 	999957, Fuel (Gal Left): 11
Mileage: 	999958, Fuel (Gal Left): 11
Mileage: 	999959, Fuel (Gal Left): 11
Mileage: 	999960, Fuel (Gal Left): 11
Mileage: 	999961, Fuel (Gal Left): 11
Mileage: 	999962, Fuel (Gal Left): 11
Mileage: 	999963, Fuel (Gal Left): 11
Mileage: 	999964, Fuel (Gal Left): 11
Mileage: 	999965, Fuel (Gal Left): 11
Mileage: 	999966, Fuel (Gal Left): 11
Mileage: 	999967, Fuel (Gal Left): 11
Mileage: 	999968, Fuel (Gal Left): 11
Mileage: 	999969, Fuel (Gal Left): 11
Mileage: 	999970, Fuel (Gal Left): 10
Mileage: 	999971, Fuel (Gal Left): 10
Mileage: 	999972, Fuel (Gal Left): 10
Mileage: 	999973, Fuel (Gal Left): 10
Mileage: 	999974, Fuel (Gal Left): 10
Mileage: 	999975, Fuel (Gal Left): 10
Mileage: 	999976, Fuel (Gal Left): 10
Mileage: 	999977, Fuel (Gal Left): 10
Mileage: 	999978, Fuel (Gal Left): 10
Mileage: 	999979, Fuel (Gal Left): 10
Mileage: 	999980, Fuel (Gal Left): 10
Mileage: 	999981, Fuel (Gal Left): 10
Mileage: 	999982, Fuel (Gal Left): 10
Mileage: 	999983, Fuel (Gal Left): 10
Mileage: 	999984, Fuel (Gal Left): 10
Mileage: 	999985, Fuel (Gal Left): 10
Mileage: 	999986, Fuel (Gal Left): 10
Mileage: 	999987, Fuel (Gal Left): 10
Mileage: 	999988, Fuel (Gal Left): 10
Mileage: 	999989, Fuel (Gal Left): 10
Mileage: 	999990, Fuel (Gal Left): 10
Mileage: 	999991, Fuel (Gal Left): 10
Mileage: 	999992, Fuel (Gal Left): 10
Mileage: 	999993, Fuel (Gal Left): 10
Mileage: 	999994, Fuel (Gal Left): 9
Mileage: 	999995, Fuel (Gal Left): 9
Mileage: 	999996, Fuel (Gal Left): 9
Mileage: 	999997, Fuel (Gal Left): 9
Mileage: 	999998, Fuel (Gal Left): 9
Mileage: 	999999, Fuel (Gal Left): 9
Mileage: 	0, Fuel (Gal Left): 9
Mileage: 	1, Fuel (Gal Left): 9
Mileage: 	2, Fuel (Gal Left): 9
Mileage: 	3, Fuel (Gal Left): 9
Mileage: 	4, Fuel (Gal Left): 9
Mileage: 	5, Fuel (Gal Left): 9
Mileage: 	6, Fuel (Gal Left): 9
Mileage: 	7, Fuel (Gal Left): 9
Mileage: 	8, Fuel (Gal Left): 9
Mileage: 	9, Fuel (Gal Left): 9
Mileage: 	10, Fuel (Gal Left): 9
Mileage: 	11, Fuel (Gal Left): 9
Mileage: 	12, Fuel (Gal Left): 9
Mileage: 	13, Fuel (Gal Left): 9
Mileage: 	14, Fuel (Gal Left): 9
Mileage: 	15, Fuel (Gal Left): 9
Mileage: 	16, Fuel (Gal Left): 9
Mileage: 	17, Fuel (Gal Left): 9
Mileage: 	18, Fuel (Gal Left): 8
Mileage: 	19, Fuel (Gal Left): 8
Mileage: 	20, Fuel (Gal Left): 8
Mileage: 	21, Fuel (Gal Left): 8
Mileage: 	22, Fuel (Gal Left): 8
Mileage: 	23, Fuel (Gal Left): 8
Mileage: 	24, Fuel (Gal Left): 8
Mileage: 	25, Fuel (Gal Left): 8
Mileage: 	26, Fuel (Gal Left): 8
Mileage: 	27, Fuel (Gal Left): 8
Mileage: 	28, Fuel (Gal Left): 8
Mileage: 	29, Fuel (Gal Left): 8
Mileage: 	30, Fuel (Gal Left): 8
Mileage: 	31, Fuel (Gal Left): 8
Mileage: 	32, Fuel (Gal Left): 8
Mileage: 	33, Fuel (Gal Left): 8
Mileage: 	34, Fuel (Gal Left): 8
Mileage: 	35, Fuel (Gal Left): 8
Mileage: 	36, Fuel (Gal Left): 8
Mileage: 	37, Fuel (Gal Left): 8
Mileage: 	38, Fuel (Gal Left): 8
Mileage: 	39, Fuel (Gal Left): 8
Mileage: 	40, Fuel (Gal Left): 8
Mileage: 	41, Fuel (Gal Left): 8
Mileage: 	42, Fuel (Gal Left): 7
Mileage: 	43, Fuel (Gal Left): 7
Mileage: 	44, Fuel (Gal Left): 7
Mileage: 	45, Fuel (Gal Left): 7
Mileage: 	46, Fuel (Gal Left): 7
Mileage: 	47, Fuel (Gal Left): 7
Mileage: 	48, Fuel (Gal Left): 7
Mileage: 	49, Fuel (Gal Left): 7
Mileage: 	50, Fuel (Gal Left): 7
Mileage: 	51, Fuel (Gal Left): 7
Mileage: 	52, Fuel (Gal Left): 7
Mileage: 	53, Fuel (Gal Left): 7
Mileage: 	54, Fuel (Gal Left): 7
Mileage: 	55, Fuel (Gal Left): 7
Mileage: 	56, Fuel (Gal Left): 7
Mileage: 	57, Fuel (Gal Left): 7
Mileage: 	58, Fuel (Gal Left): 7
Mileage: 	59, Fuel (Gal Left): 7
Mileage: 	60, Fuel (Gal Left): 7
Mileage: 	61, Fuel (Gal Left): 7
Mileage: 	62, Fuel (Gal Left): 7
Mileage: 	63, Fuel (Gal Left): 7
Mileage: 	64, Fuel (Gal Left): 7
Mileage: 	65, Fuel (Gal Left): 7
Mileage: 	66, Fuel (Gal Left): 6
Mileage: 	67, Fuel (Gal Left): 6
Mileage: 	68, Fuel (Gal Left): 6
Mileage: 	69, Fuel (Gal Left): 6
